[29/05/2016:00:00:55 +0200] 38 0:0:0:0:0:0:0:1 304 /js/out/goog/dom/safe.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 27 0:0:0:0:0:0:0:1 304 /js/out/goog/math/coordinate.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 28 0:0:0:0:0:0:0:1 304 /js/out/goog/math/size.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 33 0:0:0:0:0:0:0:1 304 /js/out/goog/dom/dom.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 27 127.0.0.1 304 /js/out/goog/net/jsloader.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 27 0:0:0:0:0:0:0:1 200 /js/out/clojure/set.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 30 0:0:0:0:0:0:0:1 304 /js/out/clojure/string.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 25 127.0.0.1 304 /js/out/cljs/repl.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 28 0:0:0:0:0:0:0:1 304 /js/out/figwheel/client/file_reloading.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 44 0:0:0:0:0:0:0:1 200 /js/out/figwheel/client/utils.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 33 0:0:0:0:0:0:0:1 200 /js/out/cljs/reader.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 33 0:0:0:0:0:0:0:1 304 /js/out/figwheel/client/socket.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 26 127.0.0.1 200 /js/out/figwheel/client/heads_up.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 31 0:0:0:0:0:0:0:1 304 /js/out/figwheel/client.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 31 0:0:0:0:0:0:0:1 200 /js/out/testapp/script/core.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:00:55 +0200] 29 0:0:0:0:0:0:0:1 200 /js/out/figwheel/connect.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 26 0:0:0:0:0:0:0:1 200 /script nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 13 0:0:0:0:0:0:0:1 200 /js/app.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 14 127.0.0.1 304 /js/out/cljs_deps.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 14 0:0:0:0:0:0:0:1 200 /js/out/goog/base.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 20 0:0:0:0:0:0:0:1 200 /js/out/goog/string/string.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 21 127.0.0.1 200 /js/out/goog/object/object.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
